word,count
community,80
people,62
us,38
world,36
social,31
help,26
communities,25
infrastructure,24
global,24
facebook,24
groups,23
content,23
many,22
share,20
building,19
important,19
like,19
together,18
around,18
build,16
new,16
friends,15
want,14
even,14
across,13
local,13
must,13
need,12
safe,12
news,12
work,11
issues,11
see,11
standards,11
connect,10
today,10
come,10
built,10
media,10
one,10
common,10
personal,10
tools,10
also,9
hope,9
part,9
well,9
greatest,8
understanding,8
every,8
whether,8
time,8
always,8
may,8
civic,8
example,8
opportunity,8
information,8
different,8
positive,7
make,7
two,7
years,7
past,7
engagement,7
collective,7
take,7
safety,7
cultural,7
society,7
online,7
group,7
support,7
perspectives,7
system,7
often,6
could,6
taking,6
year,6
seen,6
impact,6
give,6
connecting,6
strengthen,6
harm,6
informed,6
ideas,6
values,6
norms,6
way,6
existing,6
physical,6
meaningful,6
experience,6
find,6
reading,6
worldwide,6
largest,6
sensationalism,6
reflect,6
representatives,6
ever,5
cities,5
things,5
progress,5
right,5
questions,5
everyone,5
'',5
power,5
create,5
keeping,5
helps,5
voice,5
voting,5
sometimes,5
improving,5
millions,5
needs,5
something,5
since,5
related,5
quickly,5
going,5
forward,5
made,5
show,5
videos,5
keep,5
identify,5
know,5
better,5
use,5
ai,5
discourse,5
diversity,5
range,5
would,5
taken,5
process,5
governance,5
vote,5
objectionable,5
nudity,5
focus,4
history,4
story,4
greater,4
nations,4
governments,4
terrorism,4
humanity,4
bringing,4
idea,4
favorite,4
technology,4
long,4
times,4
families,4
developing,4
crises,4
afterwards,4
person,4
participation,4
less,4
cultures,4
examples,4
bring,4
sports,4
alone,4
fabric,4
large,4
possible,4
helping,4
real,4
lives,4
recently,4
million,4
become,4
billion,4
suggests,4
based,4
leaders,4
look,4
team,4
tv,4
problems,4
others,4
crisis,4
organizations,4
rebuild,4
scale,4
without,4
public,4
check,4
might,4
already,4
countries,4
messages,4
review,4
approach,4
giving,4
good,4
effects,4
polarization,4
research,4
misinformation,4
best,4
towards,4
opinions,4
participate,4
political,4
violence,4
speech,4
step,3
next,3
challenges,3
requires,3
connected,3
connection,3
works,3
ahead,3
reflecting,3
contribute,3
supportive,3
anyone,3
civically-engaged,3
population,3
inclusive,3
believe,3
dedicated,3
plan,3
provide,3
sense,3
purpose,3
development,3
relationships,3
family,3
set,3
usually,3
told,3
named,3
started,3
members,3
child,3
engaged,3
clear,3
single,3
connections,3
video,3
shared,3
strengthening,3
disease,3
country,3
systems,3
health,3
little,3
prevent,3
someone,3
cases,3
able,3
almost,3
similarly,3
becoming,3
reported,3
sign,3
understand,3
day,3
stories,3
still,3
explore,3
ways,3
emphasize,3
whatsapp,3
bad,3
accuracy,3
views,3
shows,3
think,3
including,3
medium,3
sensational,3
instead,3
majority,3
first,3
processes,3
citizens,3
decision-making,3
last,3
democratic,3
number,3
errors,3
war,3
photo,3
mistakes,3
controls,3
journey,2
discuss,2
business,2
learned,2
tribes,2
empower,2
opportunities,2
responses,2
fighting,2
climate,2
change,2
coming,2
began,2
left,2
movements,2
path,2
course,2
reminded,2
start,2
term,2
develop,2
focused,2
bigger,2
organization,2
traditional,2
institutions,2
membership,2
declining,2
prevents,2
rebuilds,2
affect,2
exposes,2
half,2
levels,2
commit,2
mitigating,2
areas,2
responsibility,2
seriously,2
smaller,2
emotional,2
spiritual,2
teams,2
looking,2
accountability,2
meet,2
healthy,2
care,2
reinforce,2
however,2
striking,2
decline,2
much,2
showing,2
lack,2
least,2
feel,2
lot,2
offline,2
enable,2
completely,2
form,2
diagnosed,2
man,2
raising,2
black,2
hold,2
daily,2
call,2
joining,2
network,2
parents,2
tell,2
improve,2
measure,2
overall,2
require,2
enabling,2
monis,2
refugees,2
jobs,2
grow,2
similar,2
done,2
sub-communities,2
among,2
experiences,2
goal,2
beyond,2
capture,2
threats,2
natural,2
disasters,2
refugee,2
point,2
nation,2
solve,2
spread,2
current,2
necessary,2
using,2
resources,2
communication,2
ability,2
reach,2
vast,2
save,2
let,2
disaster,2
activated,2
sure,2
shelter,2
event,2
effort,2
saw,2
never,2
larger,2
artificial,2
intelligence,2
happening,2
billions,2
comments,2
services,2
events,2
live,2
photos,2
fully,2
starting,2
terrorist,2
fight,2
strong,2
encryption,2
spam,2
uniquely,2
positioned,2
enough,2
actually,2
historically,2
shown,2
mitigate,2
continue,2
increasing,2
viewpoints,2
worry,2
provides,2
diverse,2
interests,2
compared,2
getting,2
networks,2
complete,2
hoaxes,2
line,2
opinion,2
free,2
get,2
extremes,2
polarized,2
steps,2
likely,2
pieces,2
whole,2
suited,2
easier,2
dialogue,2
industry,2
internet,2
ideological,2
whatever,2
engage,2
second,2
establishing,2
national,2
elections,2
encourage,2
united,2
states,2
election,2
helped,2
register,2
major,2
eventually,2
directly,2
matter,2
direct,2
india,2
making,2
voices,2
post,2
committed,2
complexity,2
newsworthy,2
historical,2
terror,2
hate,2
guiding,2
increase,2
evolving,2
adapt,2
violent,2
protest,2
depicting,2
allow,2
update,2
region,2
evolve,2
within,2
okay,2
sexually,2
control,2
although,2
options,2
graphic,2
settings,2
'can,2
occasion,2
anew,2
products,1
updates,1
question,1
numbers,1
achieve,1
close,1
